,Year,"HIV DIAGNOSES PER 100,000 POPULATION",PEOPLE WITH HIV AS PERCENT OF POPULATION,"AGE-ADJUSTED DEATH RATE PER 1,000 PEOPLE WITH HIV",2012 NEW YORK CITY POPULATION
TOTAL,2012,37.3,1.4,13.1,"8,365,069"
BRONX,2012,40.2,1.9,13.2,"1,412,744"
Crotona - Tremont,2012,46.6,2.4,14.5,"210,506"
Fordham - Bronx Park,2012,40.3,1.9,9.3,"258,095"
High Bridge - Morrisania,2012,50.7,2.6,16.5,"215,130"
Hunts Point - Mott Haven,2012,52.0,2.4,13.2,"140,413"
Kingsbridge - Riverdale,2012,21.7,0.7,11.6,"92,257"
Northeast Bronx,2012,39.4,1.2,15.2,"192,780"
Pelham - Throgs Neck,2012,28.7,1.4,11.0,"303,563"
BROOKLYN,2012,31.4,1.1,12.5,"2,573,998"
Bedford Stuyvesant - Crown Heights,2012,55.7,2.3,15.2,"319,701"
Bensonhurst - Bay Ridge,2012,10.6,0.3,13.5*,"216,173"
Borough Park,2012,10.2,0.3,9.4,"344,013"
Canarsie - Flatlands,2012,26.4,0.8,15.0,"196,959"
Coney Island - Sheepshead Bay,2012,12.4,0.4,16.2,"298,821"
Downtown - Heights - Park Slope,2012,28.0,1.2,10.5,"228,957"
East Flatbush - Flatbush,2012,48.5,1.7,9.9,"299,140"
East New York,2012,45.7,1.6,14.5,"188,167"
Greenpoint,2012,24.6,0.6,8.7*,"138,225"
Sunset Park,2012,15.9,0.6,5.9*,"131,875"
Williamsburg - Bushwick,2012,62.3,1.8,13.6,"211,966"
MANHATTAN,2012,47.6,1.9,12.6,"1,616,143"
Central Harlem - Morningside Heights,2012,83.1,2.7,12.2,"164,787"
Chelsea - Clinton,2012,95.7,4.1,4.0,"154,723"
East Harlem,2012,62.1,2.6,10.3,"112,799"
Gramercy Park - Murray Hill,2012,37.5,1.4,3.1,"135,881"
Greenwich Village - Soho,2012,47.0,2.3,4.8,"85,064"
Lower Manhattan,2012,20.9,0.9,7.9*,"57,359"
Union Square - Lower East Side,2012,37.1,1.6,51.5,"201,985"
Upper East Side,2012,13.3,0.6,10.3,"225,191"
Upper West Side,2012,23.1,1.3,8.4,"224,689"
Washington Heights - Inwood,2012,58.7,1.6,8.6,"253,665"
QUEENS,2012,21.0,0.7,12.6,"2,287,024"
Bayside - Little Neck,2012,2.3*,0.2,2.4*,"88,795"
Flushing - Clearview,2012,7.5,0.2,13.9*,"265,241"
Fresh Meadows,2012,6.1*,0.3,5.8*,"97,999"
Jamaica,2012,29.6,1.0,25.2,"293,469"
Long Island City - Astoria,2012,33.7,0.9,5.2,"216,885"
Ridgewood - Forest Hills,2012,10.1,0.5,7.4,"246,317"
Rockaway,2012,30.4,1.0,19.5,"115,282"
Southeast Queens,2012,17.6,0.6,10.5,"193,632"
Southwest Queens,2012,20.8,0.6,7.3,"269,671"
West Queens,2012,28.0,1.1,3.7,"499,732"
STATEN ISLAND,2012,7.9,0.5,16.2,"470,874"
Port Richmond,2012,22.5,0.8,17.7,"71,066"
South Beach - Tottenville,2012,2.1*,0.2,8.9*,"188,985"
Stapleton - St. George,2012,11.2,0.8,17.0,"124,783"
Willowbrook,2012,3.5*,0.2,13.8*,"86,041"
