,Year,"HIV DIAGNOSES PER 100,000 POPULATION",People With HIV AS PERCENT OF POPULATION,"AGE-ADJUSTED DEATH RATE PER 1,000 PEOPLE WITH HIV",2019 NEW YORK CITY POPULATION
Total,2019,18.6,1.4,9.6,"8,824,887"
Bronx,2019,31.0,2.1,10.1,"1,500,114"
Crotona - Tremont,2019,42.9,2.9,9.6,"225,999"
Fordham - Bronx Park,2019,29.2,2.2,12.6,"277,772"
High Bridge - Morrisania,2019,49.9,2.8,13.2,"226,380"
Hunts Point - Mott Haven,2019,32.0,2.8,7.6,"146,830"
Kingsbridge - Riverdale,2019,15.4,0.8,11.7,"97,616"
Northeast Bronx,2019,20.5,1.3,6.8,"214,805"
Pelham - Throgs Neck,2019,21.6,1.5,8.0,"314,330"
Brooklyn,2019,16.1,1.1,10.0,"2,710,352"
Bedford Stuyvesant - Crown Heights,2019,30.0,2.3,10.7,"346,473"
Bensonhurst - Bay Ridge,2019,8.8,0.3,6.7*,"216,549"
Borough Park,2019,3.2,0.3,12.5,"343,182"
Canarsie - Flatlands,2019,13.0,0.9,11.7,"215,105"
Coney Island - Sheepshead Bay,2019,7.2,0.4,7.9,"305,013"
Downtown - Heights - Park Slope,2019,10.3,1.0,9.5,"271,426"
East Flatbush - Flatbush,2019,27.6,1.8,9.7,"307,845"
East New York,2019,30.7,1.8,9.2,"198,752"
Greenpoint,2019,8.6,0.6,13.1*,"150,919"
Sunset Park,2019,11.1,0.7,9.9*,"125,991"
Williamsburg - Bushwick,2019,22.7,1.7,11.6,"229,097"
Manhattan,2019,18.9,1.9,6.0,"1,726,624"
Central Harlem - Morningside Heights,2019,40.5,2.6,7.3,"190,344"
Chelsea - Clinton,2019,27.9,4.1,4.8,"171,919"
East Harlem,2019,27.2,2.5,12.3,"117,599"
Gramercy Park - Murray Hill,2019,12.6,1.4,3.0,"142,881"
Greenwich Village - Soho,2019,13.8,2.1,6.1,"86,719"
Lower Manhattan,2019,10.3*,0.9,3.7*,"67,653"
Union Square - Lower East Side,2019,15.3,1.5,5.1,"196,119"
Upper East Side,2019,3.1*,0.7,3.7,"226,205"
Upper West Side,2019,9.2,1.4,5.5,"229,414"
Washington Heights - Inwood,2019,25.8,1.8,6.8,"279,502"
Queens,2019,12.9,0.8,5.7,"2,384,150"
Bayside - Little Neck,2019,1.1*,0.2,0.0 *,"92,361"
Flushing - Clearview,2019,6.9,0.3,4.2*,"262,662"
Fresh Meadows,2019,7.7*,0.3,16.7*,"104,370"
Jamaica,2019,16.0,1.0,4.4,"331,708"
Long Island City - Astoria,2019,13.7,1.1,4.7,"211,102"
Ridgewood - Forest Hills,2019,8.5,0.5,7.3,"272,045"
Rockaway,2019,11.8,1.0,11.9,"135,237"
Southeast Queens,2019,13.0,0.6,6.2,"223,724"
Southwest Queens,2019,9.6,0.7,7.0,"293,072"
West Queens,2019,21.6,1.2,4.3,"472,518"
Staten Island,2019,5.8,0.5,10.2,"503,647"
Port Richmond,2019,14.9,0.9,3.4*,"73,787"
South Beach - Tottenville,2019,2.0*,0.2,3.3*,"203,328"
Stapleton - St. George,2019,7.7*,0.9,17.4,"130,344"
Willowbrook,2019,4.2*,0.2,4.7*,"96,189"
