,Year,"HIV DIAGNOSES PER 100,000 POPULATION",PEOPLE WITH HIV AS PERCENT OF POPULATION,"AGE-ADJUSTED DEATH RATE PER 1,000 PEOPLE WITH HIV",2023 NEW YORK CITY POPULATION
Total,2024,20.1,1.5,7.1,"8,258,035"
Bronx,2024,29.0,2.4,9.4,"1,356,476"
Crotona - Tremont,2024,36.5,3.2,11.7,"205,424"
Fordham - Bronx Park,2024,32.3,2.6,8.0,"244,924"
High Bridge - Morrisania,2024,41.8,3.2,9.8,"205,614"
Hunts Point - Mott Haven,2024,38.9,3.0,10.2,"138,738"
Kingsbridge - Riverdale,2024,10.2*,1.1,12.0,"87,951"
Northeast Bronx,2024,23.0,1.5,7.3,"195,305"
Pelham - Throgs Neck,2024,16.1,1.6,8.1,"285,128"
Brooklyn,2024,19.6,1.3,6.9,"2,561,225"
Bedford Stuyvesant - Crown Heights,2024,34.4,2.4,8.2,"337,687"
Bensonhurst - Bay Ridge,2024,9.0,0.4,9.3,"199,759"
Borough Park,2024,9.2,0.4,4.2*,"324,573"
Canarsie - Flatlands,2024,25.4,1.0,4.6,"197,083"
Coney Island - Sheepshead Bay,2024,11.4,0.5,6.6,"281,917"
Downtown - Heights - Park Slope,2024,10.7,1.1,4.8,"261,392"
East Flatbush - Flatbush,2024,34.9,2.1,6.5,"286,696"
East New York,2024,25.2,2.0,9.5,"194,343"
Greenpoint,2024,8.3,0.6,5.9*,"144,351"
Sunset Park,2024,13.8,0.8,6.0*,"115,999"
Williamsburg - Bushwick,2024,22.5,1.7,6.9,"217,426"
Manhattan,2024,20.6,2.1,5.7,"1,597,451"
Central Harlem - Morningside Heights,2024,33.3,2.8,8.4,"180,078"
Chelsea - Clinton,2024,35.2,4.6,3.7,"156,295"
East Harlem,2024,46.5,2.8,8.7,"109,634"
Gramercy Park - Murray Hill,2024,12.8,1.6,3.6,"132,699"
Greenwich Village - Soho,2024,6.3*,2.0,3.9,"78,779"
Lower Manhattan,2024,4.8*,1.0,0.5*,"62,114"
Union Square - Lower East Side,2024,10.8,1.6,5.2,"184,777"
Upper East Side,2024,5.3,0.8,7.2,"207,537"
Upper West Side,2024,8.9,1.4,7.0,"225,608"
Washington Heights - Inwood,2024,34.1,2.0,5.0,"249,151"
Queens,2024,16.2,0.9,7.1,"2,252,196"
Bayside - Little Neck,2024,2.3*,0.2,2.9*,"88,801"
Flushing - Clearview,2024,4.8,0.4,6.4*,"247,925"
Fresh Meadows,2024,6.1*,0.4,4.0*,"98,175"
Jamaica,2024,19.8,1.1,13.7,"313,876"
Long Island City - Astoria,2024,17.7,1.4,2.2,"197,763"
Ridgewood - Forest Hills,2024,11.9,0.6,3.0*,"252,339"
Rockaway,2024,14.6,1.0,8.5,"129,760"
Southeast Queens,2024,11.9,0.7,4.3,"209,571"
Southwest Queens,2024,15.1,0.8,6.5,"272,416"
West Queens,2024,29.6,1.4,3.4,"445,740"
Staten Island,2024,7.9,0.5,13.6,"490,687"
Port Richmond,2024,23.6,0.8,14.7,"71,971"
South Beach - Tottenville,2024,2.0*,0.2,5.4*,"195,623"
Stapleton - St. George,2024,12.5,1.0,16.5,"127,982"
Willowbrook,2024,2.1*,0.3,12.1*,"95,111"
